,Health,Mines Owned,Pub Dist,Mine Dist,Enemy Dist,action,prob
0,high,0.0,1.0,0.0,4.0,goPub,0.40089346944109167
1,high,0.0,1.0,0.0,3.0,goPub,0.4002533583240297
2,high,0.0,1.0,0.0,4.0,goMine,0.7107074256472129
3,high,0.0,0.0,1.0,6.0,goPub,0.502437489804929
4,high,0.0,0.0,1.0,5.0,goMine,0.7785664756782946
5,high,1.0,3.0,1.0,6.0,goPub,0.5312973605763914
6,high,1.0,2.0,0.0,4.0,Attack,0.5006077420447836
7,high,1.0,1.0,1.0,4.0,Attack,0.5007565226652998
8,high,1.0,0.0,2.0,2.0,goPub,0.5048075401881698
9,high,1.0,1.0,1.0,2.0,goMine,0.7580155785557374
10,high,1.0,0.0,2.0,2.0,goMine,0.7827518079954743
11,medium,2.0,1.0,2.0,3.0,Attack,0.6348681389734474
12,medium,2.0,0.0,2.0,1.0,goMine,0.7982680564307411
13,low,3.0,3.0,2.0,2.0,Attack,0.594691964624698
14,low,3.0,2.0,1.0,1.0,goPub,0.50373988501666
15,low,3.0,1.0,0.0,1.0,goMine,0.7598438255000397
16,low,3.0,0.0,1.0,3.0,goMine,0.7753906229522436
17,low,4.0,5.0,1.0,4.0,goMine,0.8124992001284915
18,low,4.0,4.0,0.0,4.0,goPub,0.4999999798374581
19,low,4.0,5.0,1.0,4.0,goPub,0.49999991934982213
20,low,4.0,4.0,0.0,2.0,Attack,0.4994220179319427
21,low,4.0,4.0,0.0,2.0,goPub,0.49999682066030676
22,low,4.0,5.0,1.0,2.0,goMine,0.7499915216840136
23,low,4.0,5.0,1.0,3.0,Attack,0.49986419167366636
24,low,4.0,5.0,1.0,3.0,goPub,0.4978175095724055
25,low,4.0,4.0,0.0,3.0,goPub,0.4911444486679389
26,low,4.0,5.0,1.0,3.0,goMine,0.7257584300039975
27,low,3.0,1.0,0.0,2.0,goMine,0.6801717929333434
28,high,0.0,1.0,0.0,5.0,goMine,0.7522859548792823
29,high,1.0,3.0,1.0,6.0,goMine,0.7802744698369098
30,high,1.0,2.0,0.0,5.0,goPub,0.5000924550811896
31,high,1.0,1.0,1.0,4.0,goPub,0.5021042486989519
32,high,1.0,2.0,0.0,4.0,goMine,0.7555815895771204
33,high,1.0,1.0,1.0,3.0,goMine,0.7693503705286916
34,high,1.0,0.0,2.0,1.0,goMine,0.7705489377373913
35,high,2.0,1.0,2.0,2.0,Attack,0.5728630735249725
36,high,2.0,0.0,2.0,2.0,goMine,0.7766441400431884
37,medium,3.0,3.0,2.0,2.0,Attack,0.5897199645950644
38,medium,3.0,2.0,1.0,1.0,Attack,0.483293883814092
39,high,0.0,1.0,0.0,3.0,goMine,0.6427663876617111
40,high,0.0,0.0,1.0,3.0,goMine,0.7559814612463445
41,high,1.0,3.0,1.0,4.0,goMine,0.7656250416231017
42,high,1.0,2.0,0.0,2.0,goPub,0.5000001664923507
43,high,1.0,2.0,0.0,3.0,Attack,0.500000700190355
44,high,1.0,1.0,1.0,1.0,goMine,0.750001775911743
45,high,1.0,0.0,2.0,0.0,goPub,0.5000071035446282
46,high,1.0,1.0,1.0,2.0,goPub,0.5000284125411995
47,high,1.0,1.0,1.0,3.0,Attack,0.5004536510792416
48,medium,2.0,1.0,2.0,3.0,goMine,0.7808209240822415
49,medium,2.0,0.0,2.0,2.0,goPub,0.4982777587830388
50,low,2.0,1.0,1.0,0.0,goPub,0.4930133202544303
51,low,2.0,1.0,1.0,0.0,goMine,0.7308810376208396
52,high,0.0,0.0,1.0,5.0,goPub,0.5002129629500189
53,high,0.0,1.0,0.0,3.0,Attack,0.500850405422085
54,high,0.0,1.0,1.0,3.0,goMine,0.7522609320442568
55,high,0.0,0.0,2.0,1.0,goMine,0.755981448508494
56,medium,1.0,3.0,2.0,0.0,goMine,0.7656250083487189
57,medium,1.0,2.0,1.0,1.0,goMine,0.7500000222632499
58,medium,1.0,1.0,0.0,3.0,Attack,0.5000000890529837
59,medium,1.0,2.0,1.0,3.0,goPub,0.5000003562116808
60,medium,1.0,1.0,0.0,5.0,goPub,0.5000014248426629
61,high,1.0,1.0,0.0,5.0,goMine,0.7500037995611856
62,high,1.0,0.0,1.0,6.0,Attack,0.5000151977827973
63,high,1.0,1.0,0.0,5.0,goPub,0.5003036531742294
64,high,1.0,1.0,0.0,4.0,goMine,0.7573877103325131
65,high,1.0,0.0,1.0,5.0,Attack,0.5025526179678592
66,high,1.0,0.0,1.0,4.0,goMine,0.7675781401120739
67,high,2.0,4.0,1.0,5.0,goPub,0.5625000537318133
68,high,2.0,3.0,0.0,5.0,goMine,0.750000143284808
69,high,2.0,2.0,1.0,4.0,goPub,0.5000005731385755
70,high,2.0,3.0,0.0,4.0,Attack,0.5000022925437901
71,high,2.0,2.0,1.0,2.0,goMine,0.7500061134002757
